hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
462303,NMDC,1315,2016-10-17,38.47,,,,2025-10-28,74.61,cron,-48.44,True,True,LIKELY adjusted (implied factor≈1.94) but no matching SPLIT/BONUS in corporate_actions,
462304,NMDC,1315,2016-11-18,37.95,,,,2025-10-28,74.61,cron,-49.14,True,True,LIKELY adjusted (implied factor≈1.97) but no matching SPLIT/BONUS in corporate_actions,
462305,NMDC,1315,2016-12-02,38.8,,,,2025-10-28,74.61,cron,-48.0,True,True,LIKELY adjusted (implied factor≈1.92) but no matching SPLIT/BONUS in corporate_actions,
462306,NMDC,1315,2017-08-16,40.38,,,,2025-10-28,74.61,cron,-45.88,True,True,LIKELY adjusted (implied factor≈1.85) but no matching SPLIT/BONUS in corporate_actions,
462307,NMDC,1315,2017-08-28,40.8,,,,2025-10-28,74.61,cron,-45.32,True,True,LIKELY adjusted (implied factor≈1.83) but no matching SPLIT/BONUS in corporate_actions,
462308,NMDC,1315,2018-09-06,38.55,,,,2025-10-28,74.61,cron,-48.33,True,True,LIKELY adjusted (implied factor≈1.94) but no matching SPLIT/BONUS in corporate_actions,
462309,NMDC,1315,2018-09-18,39.68,,,,2025-10-28,74.61,cron,-46.82,True,True,LIKELY adjusted (implied factor≈1.88) but no matching SPLIT/BONUS in corporate_actions,
462310,NMDC,1315,2018-09-26,39.08,,,,2025-10-28,74.61,cron,-47.62,True,True,LIKELY adjusted (implied factor≈1.91) but no matching SPLIT/BONUS in corporate_actions,
462312,OSWALAGRO,1373,2025-06-16,101.71,,,,2025-10-28,73.1,cron,39.14,True,False,no post-fill dilutive CA on file,
462315,PIDILITIND,1418,2019-05-01,614.4,2019-04-30,1234.55,upload,2019-05-02,1228.8,upload,-50.12,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-09-23,BONUS 1@2025-09-23
462316,PIDILITIND,1418,2021-03-11,861.55,2021-03-10,1737.05,upload,2021-03-12,1723.1,upload,-50.2,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-09-23,BONUS 1@2025-09-23
462317,PIDILITIND,1418,2024-03-08,1453.2,2024-03-07,2865.85,upload,2024-03-11,2906.4,upload,-49.65,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2025-09-23,BONUS 1@2025-09-23
462324,RAJRATAN,1506,2023-01-05,873.15,,,,2025-10-28,387.0,cron,125.62,True,False,no post-fill dilutive CA on file,
462325,RAJRATAN,1506,2023-06-15,834.05,,,,2025-10-28,387.0,cron,115.52,True,False,no post-fill dilutive CA on file,
462326,RAJRATAN,1506,2024-06-05,527.45,,,,2025-10-28,387.0,cron,36.29,True,False,no post-fill dilutive CA on file,
462330,REDTAPE,1534,2024-10-22,227.49,,,,2025-10-29,133.45,cron,70.47,True,False,no post-fill dilutive CA on file,
462331,REDTAPE,1534,2024-12-17,211.61,,,,2025-10-29,133.45,cron,58.57,True,False,no post-fill dilutive CA on file,
461937,RELIANCE,1,2018-09-13,620.69,2018-09-12,1252.5,upload,2018-09-14,1253.15,upload,-50.46,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2024-10-28,BONUS 1@2024-10-28
461938,RELIANCE,1,2019-05-01,695.93,2019-04-30,1392.8,upload,2019-05-02,1405.05,upload,-50.25,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2024-10-28,BONUS 1@2024-10-28
